name,cases,Deaths,Recovered,Tests,Population
Zambia,314986.00,3960.00,309336.00,3305230.00,19250591.00
Réunion,310181.00,680.00,298082.00,1498366.00,906079.00
North Macedonia,300714.00,9117.00,289532.00,1904444.00,2083230.00
Albania,272479.00,3484.00,267876.00,1757186.00,2872501.00
Algeria,265391.00,6861.00,178008.00,230861.00,45184707.00
Botswana,263950.00,2619.00,259434.00,2026898.00,2431589.00
Nigeria,254861.00,3142.00,249307.00,4519905.00,214741311.00
Zimbabwe,241548.00,5408.00,231012.00,2124014.00,15227408.00
Uzbekistan,237129.00,1637.00,234447.00,1377915.00,34286336.00
Montenegro,231313.00,2692.00,227735.00,1184379.00,628200.00
Mozambique,225162.00,2198.00,221942.00,1281172.00,32729409.00
Kyrgyzstan,200707.00,2971.00,195786.00,1907195.00,6705504.00
Luxembourg,191006.00,1004.00,179255.00,4096334.00,643132.00
Afghanistan,175974.00,7640.00,158302.00,902544.00,40404557.00
Maldives,173991.00,297.00,159387.00,2208513.00,556579.00
Uganda,163462.00,3594.00,100108.00,2494741.00,48172039.00
Ghana,160681.00,1445.00,159044.00,2363430.00,32165194.00
Iceland,158533.00,79.00,75685.00,1820155.00,344975.00
Namibia,157366.00,4014.00,153069.00,964061.00,2618407.00
El Salvador,156364.00,4094.00,132410.00,1758939.00,6541358.00
Laos,145507.00,640.00,7660.00,1002806.00,7453412.00
Cambodia,133738.00,3045.00,128300.00,2892129.00,17108765.00
Trinidad and Tobago,131840.00,3673.00,108546.00,647371.00,1407125.00
Guadeloupe,130705.00,843.00,2250.00,938039.00,400239.00
Rwanda,129576.00,1458.00,45522.00,4950817.00,13492763.00
Jamaica,128273.00,2837.00,79094.00,873515.00,2982948.00
Martinique,126221.00,900.00,104.00,738299.00,374775.00
Cameroon,119322.00,1926.00,117263.00,1751774.00,27658342.00
China,112940.00,4636.00,103280.00,160000000.00,1439323776.00
Brunei,106936.00,158.00,68764.00,717784.00,444537.00
Angola,98855.00,1900.00,96817.00,1453019.00,34586857.00
DRC,86290.00,1335.00,50930.00,846704.00,94143993.00
Senegal,85785.00,1964.00,83768.00,1025172.00,17486717.00
Malawi,85476.00,2620.00,76547.00,552093.00,19962132.00
Ivory Coast,81571.00,795.00,80576.00,1436544.00,27477991.00
Suriname,78705.00,1319.00,49365.00,231838.00,595489.00
